1,Agency FB,Bold,AGENCYB.TTF,0,Agency FB,AgencyFB-Bold,Agency FB Bold,2,Agency FB,AgencyFB-Bold,0,700,262144,536870913,0,3,0,0,0,
2,Agency FB,Regular,AGENCYR.TTF,0,Agency FB,AgencyFB-Reg,Agency FB,2,Agency FB,AgencyFB-Reg,0,400,0,536870913,0,3,0,0,0,
3,Algerian,Regular,ALGER.TTF,0,Algerian,Algerian,Algerian,1,Algerian,0,400,0,536870913,0,3,0,0,0,
4,Book Antiqua,Bold,ANTQUAB.TTF,0,Book Antiqua,BookAntiqua-Bold,Book Antiqua Bold,2,Book Antiqua,BookAntiqua-Bold,0,700,262146,536871071,3755409408,647,0,0,0,
5,Book Antiqua,Bold Italic,ANTQUABI.TTF,0,Book Antiqua,BookAntiqua-BoldItalic,Book Antiqua Bold Italic,2,Book Antiqua,BookAntiqua-BoldItalic,1,700,262210,536871071,3755409408,647,0,0,0,
6,Book Antiqua,Italic,ANTQUAI.TTF,0,Book Antiqua,BookAntiqua-Italic,Book Antiqua Italic,2,Book Antiqua,BookAntiqua-Italic,1,400,66,536871071,3755409408,647,0,0,0,
7,Arial,Regular,arial.ttf,0,Arial,ArialMT,Arial,2,Arial,ArialMT,0,400,0,1073742335,4294901760,3758108415,3221256283,9,0,
8,Arial,Bold,arialbd.ttf,0,Arial,Arial-BoldMT,Arial Bold,3,Arial,Arial-BoldMT,Arial Bold,0,700,262144,1073742335,4294901760,3758108415,3221256283,9,0,
9,Arial,Bold Italic,arialbi.ttf,0,Arial,Arial-BoldItalicMT,Arial Bold Italic,3,Arial,Arial-BoldItalicMT,Arial Bold Italic,1,700,262208,1073742271,3757506560,3758100223,1073772635,1,0,
10,Arial,Italic,ariali.ttf,0,Arial,Arial-ItalicMT,Arial Italic,3,Arial,Arial-ItalicMT,Arial Italic,1,400,64,1073742271,3757506560,3758100223,30811,1,0,
11,Arial Narrow,Regular,ARIALN.TTF,0,Arial Narrow,ArialNarrow,Arial Narrow,2,Arial Narrow,ArialNarrow,0,400,0,536871071,3755409408,647,2048,0,0,
12,Arial Narrow,Bold,ARIALNB.TTF,0,Arial Narrow,ArialNarrow-Bold,Arial Narrow Bold,2,Arial Narrow,ArialNarrow-Bold,0,700,262144,536871071,3755409408,647,2048,0,0,
13,Arial Narrow,Bold Italic,ARIALNBI.TTF,0,Arial Narrow,ArialNarrow-BoldItalic,Arial Narrow Bold Italic,2,Arial Narrow,ArialNarrow-BoldItalic,1,700,262208,536871071,3755409408,647,2048,0,0,
14,Arial Narrow,Italic,ARIALNI.TTF,0,Arial Narrow,ArialNarrow-Italic,Arial Narrow Italic,2,Arial Narrow,ArialNarrow-Italic,1,400,64,536871071,3755409408,647,2048,0,0,
15,Arial Black,Regular,ariblk.ttf,0,Arial Black,Arial-Black,Arial Black,2,Arial Black,Arial-Black,0,900,0,1610612895,3755409408,2684355247,1073772795,0,0,
16,Arial Rounded MT Bold,Regular,ARLRDBD.TTF,0,Arial Rounded MT Bold,ArialRoundedMTBold,Arial Rounded MT Bold,2,Arial Rounded MT Bold,ArialRoundedMTBold,0,400,2,536870913,0,3,0,0,0,
17,Arvo,Bold,Arvo-Bold.ttf,0,Arvo,Arvo-Bold,Arvo Bold,2,Arvo,Arvo-Bold,0,700,262144,1,0,2147483687,134217792,335544320,0,
18,Arvo,Bold Italic,Arvo-BoldItalic.ttf,0,Arvo,Arvo-BoldItalic,Arvo Bold Italic,2,Arvo,Arvo-BoldItalic,1,700,262208,536871185,1073741824,2147483687,65,0,0,
19,Arvo,Italic,Arvo-Italic.ttf,0,Arvo,Arvo-Italic,Arvo-Italic,2,Arvo,Arvo-Italic,1,400,64,536871185,1073741824,2147483815,65,0,0,
20,Arvo,Regular,Arvo-Regular.ttf,0,Arvo,Arvo,Arvo,1,Arvo,0,400,0,536871185,1073741824,2147483815,65,0,0,
21,Bahnschrift,Regular,bahnschrift.ttf,0,Bahnschrift,Bahnschrift,Bahnschrift,1,Bahnschrift,0,400,0,536871327,0,2684355271,2,0,0,
22,Baskerville Old Face,Regular,BASKVILL.TTF,0,Baskerville Old Face,BaskOldFace,Baskerville Old Face,2,Baskerville Old Face,BaskOldFace,0,400,2,536870913,0,3,0,0,0,
23,Bauhaus 93,Regular,BAUHS93.TTF,0,Bauhaus 93,Bauhaus93,Bauhaus 93,2,Bauhaus 93,Bauhaus93,0,400,0,536870913,0,3,0,0,0,
24,Bell MT,Regular,BELL.TTF,0,Bell MT,BellMT,Bell MT,2,Bell MT,BellMT,0,400,2,536870913,0,3,0,0,0,
25,Bell MT,Bold,BELLB.TTF,0,Bell MT,BellMTBold,Bell MT Bold,2,Bell MT,BellMTBold,0,700,262146,536870913,0,3,0,0,0,
26,Bell MT,Italic,BELLI.TTF,0,Bell MT,BellMTItalic,Bell MT Italic,2,Bell MT,BellMTItalic,1,400,66,536870913,0,3,0,0,0,
27,Bernard MT Condensed,Regular,BERNHC.TTF,0,Bernard MT Condensed,BernardMT-Condensed,Bernard MT Condensed,2,Bernard MT Condensed,BernardMT-Condensed,0,400,2,536870913,0,3,0,0,0,
28,Book Antiqua,Regular,BKANT.TTF,0,Book Antiqua,BookAntiqua,Book Antiqua,2,Book Antiqua,BookAntiqua,0,400,2,536871071,3755409408,647,0,0,0,
29,Bodoni MT,Bold,BOD_B.TTF,0,Bodoni MT,BodoniMT-Bold,Bodoni MT Bold,2,Bodoni MT,BodoniMT-Bold,0,700,262146,536870913,0,3,0,0,0,
30,Bodoni MT,Bold Italic,BOD_BI.TTF,0,Bodoni MT,BodoniMT-BoldItalic,Bodoni MT Bold Italic,2,Bodoni MT,BodoniMT-BoldItalic,1,700,262210,536870913,0,3,0,0,0,
31,Bodoni MT Black,Italic,BOD_BLAI.TTF,0,Bodoni MT Black,BodoniMTBlack-Italic,Bodoni MT Black Italic,2,Bodoni MT Black,BodoniMTBlack-Italic,1,900,66,536870913,0,3,0,0,0,
32,Bodoni MT Black,Regular,BOD_BLAR.TTF,0,Bodoni MT Black,BodoniMTBlack,Bodoni MT Black,2,Bodoni MT Black,BodoniMTBlack,0,900,2,536870913,0,3,0,0,0,
33,Bodoni MT Condensed,Bold,BOD_CB.TTF,0,Bodoni MT Condensed,BodoniMTCondensed-Bold,Bodoni MT Condensed Bold,2,Bodoni MT Condensed,BodoniMTCondensed-Bold,0,700,262146,536870913,0,3,0,0,0,
34,Bodoni MT Condensed,Bold Italic,BOD_CBI.TTF,0,Bodoni MT Condensed,BodoniMTCondensed-BoldItalic,Bodoni MT Condensed Bold Italic,2,Bodoni MT Condensed,BodoniMTCondensed-BoldItalic,1,700,262210,536870913,0,3,0,0,0,
35,Bodoni MT Condensed,Italic,BOD_CI.TTF,0,Bodoni MT Condensed,BodoniMTCondensed-Italic,Bodoni MT Condensed Italic,2,Bodoni MT Condensed,BodoniMTCondensed-Italic,1,400,66,536870913,0,3,0,0,0,
36,Bodoni MT Condensed,Regular,BOD_CR.TTF,0,Bodoni MT Condensed,BodoniMTCondensed,Bodoni MT Condensed,2,Bodoni MT Condensed,BodoniMTCondensed,0,400,2,536870913,0,3,0,0,0,
37,Bodoni MT,Italic,BOD_I.TTF,0,Bodoni MT,BodoniMT-Italic,Bodoni MT Italic,2,Bodoni MT,BodoniMT-Italic,1,400,66,536870913,0,3,0,0,0,
38,Bodoni MT Poster Compressed,Regular,BOD_PSTC.TTF,0,Bodoni MT Poster Compressed,BodoniMTPosterCompressed,Bodoni MT Poster Compressed,2,Bodoni MT Poster Compressed,BodoniMTPosterCompressed,0,300,2,536870929,0,3,0,0,0,
39,Bodoni MT,Regular,BOD_R.TTF,0,Bodoni MT,BodoniMT,Bodoni MT,2,Bodoni MT,BodoniMT,0,400,2,536870913,0,3,0,0,0,
40,Bookman Old Style,Regular,BOOKOS.TTF,0,Bookman Old Style,BookmanOldStyle,Bookman Old Style,2,Bookman Old Style,BookmanOldStyle,0,300,2,536871071,3755409408,647,0,0,0,
41,Bookman Old Style,Bold,BOOKOSB.TTF,0,Bookman Old Style,BookmanOldStyle-Bold,Bookman Old Style Bold,2,Bookman Old Style,BookmanOldStyle-Bold,0,600,262146,536871071,3755409408,647,0,0,0,
